Name,LB,SMI,Atomic_Symbol,DFT_BF3_Affinity,Atomic_Number,Degree,Free_SASA,Atomic_Charge,Radial_Charge_1,Radial_Charge_2,Radial_Charge_3,Radial_Charge_4,Radial_Charge_5,Radial_Charge_6,Radial_Charge_7,Radial_Charge_8,Radial_Charge_9,nBase,nAromAtom,nAromBond,nAtom,nHeavyAtom,nHetero,nH,nC,nN,nO,nS,nP,nF,nCl,nBr,nX,nBonds,nBondsO,nBondsS,nBondsD,nBondsT,nBondsA,nBondsM,nBondsKS,nBondsKD,C1SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,FCSP3,SZ,Sm,Sv,Sse,Spe,Sare,Sp,Si,MZ,Mm,Mv,Mse,Mpe,Mare,Mp,Mi,fragCpx,fMF,nHBAcc,nHBDon,apol,bpol,nRing,n5Ring,n6Ring,nHRing,n5HRing,n6HRing,naRing,n6aRing,naHRing,n6aHRing,nARing,n5ARing,n6ARing,nAHRing,n5AHRing,n6AHRing,nFRing,nFARing,nRot,RotRatio,SLogP,SMR,Vabc,MW,AMW
599_O1,599,CC(C)C(=O)CC1=CC=C(C=C1)COCO,O,57.1249365,8,1,16.81417275,-0.29905,-0.15977,-0.1159,-0.15106,-0.12502,-0.11272,-0.00964,0.06487,-0.16225,-0.01875,0,6,6,34,16,3,18,13,0,3,0,0,0,0,0,0,34,16,27,1,0,6,7,30,4,0,0,5,2,3,1,1,0,0.461538462,20,18.50670219,20.02084755,33.98252003,32.57647059,33.04,21.62770898,38.36576503,0.588235294,0.54431477,0.588848457,0.999485883,0.958131488,0.971764706,0.636109088,1.128404854,16.03,0.176470588,3,1,36.118274,20.661726,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0.375,1.9206,61.8658,225.972653,222.1255944,6.533105719
599_O2,599,CC(C)C(=O)CC1=CC=C(C=C1)COCO,O,71.8854975,8,2,9.92244206,-0.351,-0.13299,-0.22565,-0.12547,-0.11663,-0.03207,-0.0005,0.21811,-0.06863,-0.14251,0,6,6,34,16,3,18,13,0,3,0,0,0,0,0,0,34,16,27,1,0,6,7,30,4,0,0,5,2,3,1,1,0,0.461538462,20,18.50670219,20.02084755,33.98252003,32.57647059,33.04,21.62770898,38.36576503,0.588235294,0.54431477,0.588848457,0.999485883,0.958131488,0.971764706,0.636109088,1.128404854,16.03,0.176470588,3,1,36.118274,20.661726,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0.375,1.9206,61.8658,225.972653,222.1255944,6.533105719
599_O3,599,CC(C)C(=O)CC1=CC=C(C=C1)COCO,O,58.8840215,8,2,9.744976387,-0.37063,-0.01407,-0.18875,-0.11424,-0.0126,-0.12547,-0.11663,-0.03207,-0.0005,0.21811,0,6,6,34,16,3,18,13,0,3,0,0,0,0,0,0,34,16,27,1,0,6,7,30,4,0,0,5,2,3,1,1,0,0.461538462,20,18.50670219,20.02084755,33.98252003,32.57647059,33.04,21.62770898,38.36576503,0.588235294,0.54431477,0.588848457,0.999485883,0.958131488,0.971764706,0.636109088,1.128404854,16.03,0.176470588,3,1,36.118274,20.661726,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0.375,1.9206,61.8658,225.972653,222.1255944,6.533105719
600_O1,600,CC1CCC(=C(C1=O)C2CNC(=O)NC2)C,O,89.6706345,8,1,15.33817379,-0.29424,-0.13271,-0.11231,-0.2126,-0.06527,-0.39518,0.24891,0,0,0,0,0,0,34,16,4,18,12,2,2,0,0,0,0,0,0,35,17,32,3,0,0,3,32,3,0,0,1,2,4,2,2,0,0.666666667,20,18.50703522,19.82197558,33.97815004,32.61176471,33.096,21.46483473,38.73785547,0.588235294,0.544324565,0.582999282,0.999357354,0.95916955,0.973411765,0.631318669,1.13934869,49.04,0.352941176,2,2,35.846274,20.933726,2,0,2,1,0,1,0,0,0,0,2,0,2,1,0,1,0,0,1,0.058823529,1.2309,60.9964,223.059962,222.1368278,6.533436112
600_N1,600,CC1CCC(=C(C1=O)C2CNC(=O)NC2)C,N,60.8846525,7,3,4.114889724,-0.33748,0.16956,-0.29475,-0.06211,0.13306,-0.21579,-0.12675,0,0,0,0,0,0,34,16,4,18,12,2,2,0,0,0,0,0,0,35,17,32,3,0,0,3,32,3,0,0,1,2,4,2,2,0,0.666666667,20,18.50703522,19.82197558,33.97815004,32.61176471,33.096,21.46483473,38.73785547,0.588235294,0.544324565,0.582999282,0.999357354,0.95916955,0.973411765,0.631318669,1.13934869,49.04,0.352941176,2,2,35.846274,20.933726,2,0,2,1,0,1,0,0,0,0,2,0,2,1,0,1,0,0,1,0.058823529,1.2309,60.9964,223.059962,222.1368278,6.533436112
600_O2,600,CC1CCC(=C(C1=O)C2CNC(=O)NC2)C,O,119.7588645,8,1,16.6180361,-0.24891,0.06542,-0.60953,-0.22412,-0.00227,0.03767,0.13306,-0.21579,-0.12675,0,0,0,0,34,16,4,18,12,2,2,0,0,0,0,0,0,35,17,32,3,0,0,3,32,3,0,0,1,2,4,2,2,0,0.666666667,20,18.50703522,19.82197558,33.97815004,32.61176471,33.096,21.46483473,38.73785547,0.588235294,0.544324565,0.582999282,0.999357354,0.95916955,0.973411765,0.631318669,1.13934869,49.04,0.352941176,2,2,35.846274,20.933726,2,0,2,1,0,1,0,0,0,0,2,0,2,1,0,1,0,0,1,0.058823529,1.2309,60.9964,223.059962,222.1368278,6.533436112
600_N2,600,CC1CCC(=C(C1=O)C2CNC(=O)NC2)C,N,71.021708,7,3,3.899508243,-0.33748,0.16956,-0.29475,-0.06211,0.13306,-0.21579,-0.12675,0,0,0,0,0,0,34,16,4,18,12,2,2,0,0,0,0,0,0,35,17,32,3,0,0,3,32,3,0,0,1,2,4,2,2,0,0.666666667,20,18.50703522,19.82197558,33.97815004,32.61176471,33.096,21.46483473,38.73785547,0.588235294,0.544324565,0.582999282,0.999357354,0.95916955,0.973411765,0.631318669,1.13934869,49.04,0.352941176,2,2,35.846274,20.933726,2,0,2,1,0,1,0,0,0,0,2,0,2,1,0,1,0,0,1,0.058823529,1.2309,60.9964,223.059962,222.1368278,6.533436112
601_O1,601,CC1CC(C(=O)C=C1)CC(C)C2CCOC2,O,87.3496925,8,1,15.52521038,-0.29456,-0.13658,-0.13649,-0.18751,-0.08169,-0.15113,0.04817,-0.11333,0,0,0,0,0,38,16,2,22,14,0,2,0,0,0,0,0,0,39,17,37,2,0,0,2,37,2,0,0,3,0,4,3,4,0,0.785714286,20.33333333,18.5103655,21.38970405,37.42753095,35.67843137,36.16,23.74457844,42.98695825,0.535087719,0.487114882,0.562886949,0.984935025,0.938906089,0.951578947,0.624857327,1.131235743,49.02,0.342105263,2,0,39.653446,24.674554,2,1,1,1,1,0,0,0,0,0,2,1,1,1,1,0,0,0,3,0.176470588,2.8304,64.125,238.2948702,222.1619799,5.846367893
601_O2,601,CC1CC(C(=O)C=C1)CC(C)C2CCOC2,O,89.0562675,8,2,11.05001207,-0.38114,-0.28449,-0.0946,-0.04127,-0.11323,0.03464,0.19424,-0.09183,-0.1289,0,0,0,0,38,16,2,22,14,0,2,0,0,0,0,0,0,39,17,37,2,0,0,2,37,2,0,0,3,0,4,3,4,0,0.785714286,20.33333333,18.5103655,21.38970405,37.42753095,35.67843137,36.16,23.74457844,42.98695825,0.535087719,0.487114882,0.562886949,0.984935025,0.938906089,0.951578947,0.624857327,1.131235743,49.02,0.342105263,2,0,39.653446,24.674554,2,1,1,1,1,0,0,0,0,0,2,1,1,1,1,0,0,0,3,0.176470588,2.8304,64.125,238.2948702,222.1619799,5.846367893
602_O1,602,C1CC(=O)C2=CC=CC=C2C1CC(=O)Cl,O,79.864392,8,1,15.93827105,-0.29418,-0.1315,-0.09909,-0.15228,-0.16016,-0.03285,0.32447,0,0,0,0,6,6,26,15,3,11,12,0,2,0,0,0,1,0,1,27,16,19,2,0,6,8,22,5,0,1,5,2,0,3,1,0,0.333333333,19.33333333,18.53867288,17.50050702,26.30990532,25.42745098,25.612,18.65791796,28.85448905,0.743589744,0.71302588,0.673096424,1.011919435,0.977978884,0.985076923,0.717612229,1.10978804,46.03,0.384615385,2,0,31.158723,13.281277,2,0,2,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,2,0.125,2.9022,58.2245,200.1045909,222.0447573,8.540182972
602_O2,602,C1CC(=O)C2=CC=CC=C2C1CC(=O)Cl,O,27.1207225,8,1,17.58032959,-0.28132,-0.05958,-0.07412,-0.0077,-0.04412,-0.01424,0.1681,-0.06229,0,0,0,6,6,26,15,3,11,12,0,2,0,0,0,1,0,1,27,16,19,2,0,6,8,22,5,0,1,5,2,0,3,1,0,0.333333333,19.33333333,18.53867288,17.50050702,26.30990532,25.42745098,25.612,18.65791796,28.85448905,0.743589744,0.71302588,0.673096424,1.011919435,0.977978884,0.985076923,0.717612229,1.10978804,46.03,0.384615385,2,0,31.158723,13.281277,2,0,2,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,2,0.125,2.9022,58.2245,200.1045909,222.0447573,8.540182972
603_N1,603,CN(C)C1=C(C=CC=N1)C2=CC=CC(=C2)C#N,N,70.654138,7,3,5.489506515,-0.36223,-0.21173,-0.15216,-0.18541,-0.17178,0.01166,0.12877,0,0,0,0,12,12,30,17,3,13,14,3,0,0,0,0,0,0,0,31,18,18,0,1,12,13,24,6,1,2,6,3,0,0,0,0,0.142857143,19.66666667,18.58954292,19.79577142,29.76037873,28.79215686,29.124,21.1666521,33.57159747,0.655555556,0.619651431,0.659859047,0.992012624,0.959738562,0.9708,0.70555507,1.119053249,52.03,0.4,3,0,35.348309,16.461691,2,0,2,1,0,1,2,2,1,1,0,0,0,0,0,0,0,0,2,0.111111111,2.68628,68.715,216.0859444,223.1109474,7.437031581
603_N2,603,CN(C)C1=C(C=CC=N1)C2=CC=CC(=C2)C#N,N,96.4706795,7,2,10.34560157,-0.2387,-0.07405,-0.3709,-0.35437,-0.10786,0.01166,0.12877,0,0,0,0,12,12,30,17,3,13,14,3,0,0,0,0,0,0,0,31,18,18,0,1,12,13,24,6,1,2,6,3,0,0,0,0,0.142857143,19.66666667,18.58954292,19.79577142,29.76037873,28.79215686,29.124,21.1666521,33.57159747,0.655555556,0.619651431,0.659859047,0.992012624,0.959738562,0.9708,0.70555507,1.119053249,52.03,0.4,3,0,35.348309,16.461691,2,0,2,1,0,1,2,2,1,1,0,0,0,0,0,0,0,0,2,0.111111111,2.68628,68.715,216.0859444,223.1109474,7.437031581
603_N3,603,CN(C)C1=C(C=CC=N1)C2=CC=CC(=C2)C#N,N,51.734785,7,1,17.50435539,-0.19244,-0.09331,-0.04071,-0.12143,-0.06716,-0.03464,0.11454,-0.4663,-0.358,0,0,12,12,30,17,3,13,14,3,0,0,0,0,0,0,0,31,18,18,0,1,12,13,24,6,1,2,6,3,0,0,0,0,0.142857143,19.66666667,18.58954292,19.79577142,29.76037873,28.79215686,29.124,21.1666521,33.57159747,0.655555556,0.619651431,0.659859047,0.992012624,0.959738562,0.9708,0.70555507,1.119053249,52.03,0.4,3,0,35.348309,16.461691,2,0,2,1,0,1,2,2,1,1,0,0,0,0,0,0,0,0,2,0.111111111,2.68628,68.715,216.0859444,223.1109474,7.437031581
604_N1,604,CCC1=CC(=CN=C1)CC2=CC(=NC=C2)C#N,N,125.999678,7,2,11.40260706,-0.26415,-0.20391,-0.08995,-0.17246,-0.07388,-0.0659,0.23279,0.19072,0,0,0,12,12,30,17,3,13,14,3,0,0,0,0,0,0,0,31,18,18,0,1,12,13,24,6,1,3,4,3,1,2,0,0,0.214285714,19.66666667,18.58954292,19.79577142,29.76037873,28.79215686,29.124,21.1666521,33.57159747,0.655555556,0.619651431,0.659859047,0.992012624,0.959738562,0.9708,0.70555507,1.119053249,52.03,0.433333333,3,0,35.348309,15.891691,2,0,2,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0,3,0.166666667,2.50148,65.373,216.0859444,223.1109474,7.437031581
604_N2,604,CCC1=CC(=CN=C1)CC2=CC(=NC=C2)C#N,N,94.7903595,7,2,11.7014734,-0.24555,-0.0767,0.06464,-0.03539,-0.03627,0.01201,-0.01012,-0.15663,-0.15589,-0.07012,0,12,12,30,17,3,13,14,3,0,0,0,0,0,0,0,31,18,18,0,1,12,13,24,6,1,3,4,3,1,2,0,0,0.214285714,19.66666667,18.58954292,19.79577142,29.76037873,28.79215686,29.124,21.1666521,33.57159747,0.655555556,0.619651431,0.659859047,0.992012624,0.959738562,0.9708,0.70555507,1.119053249,52.03,0.433333333,3,0,35.348309,15.891691,2,0,2,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0,3,0.166666667,2.50148,65.373,216.0859444,223.1109474,7.437031581
