Name,LB,SMI,Atomic_Symbol,DFT_BF3_Affinity,Atomic_Number,Degree,Free_SASA,Atomic_Charge,Radial_Charge_1,Radial_Charge_2,Radial_Charge_3,Radial_Charge_4,Radial_Charge_5,Radial_Charge_6,Radial_Charge_7,Radial_Charge_8,Radial_Charge_9,nBase,nAromAtom,nAromBond,nAtom,nHeavyAtom,nHetero,nH,nC,nN,nO,nS,nP,nF,nCl,nBr,nX,nBonds,nBondsO,nBondsS,nBondsD,nBondsT,nBondsA,nBondsM,nBondsKS,nBondsKD,C1SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,FCSP3,SZ,Sm,Sv,Sse,Spe,Sare,Sp,Si,MZ,Mm,Mv,Mse,Mpe,Mare,Mp,Mi,fragCpx,fMF,nHBAcc,nHBDon,apol,bpol,nRing,n5Ring,n6Ring,nHRing,n5HRing,n6HRing,naRing,n6aRing,naHRing,n6aHRing,nARing,n5ARing,n6ARing,nAHRing,n5AHRing,n6AHRing,nFRing,nFARing,nRot,RotRatio,SLogP,SMR,Vabc,MW,AMW,Exp_BF3_Affinity
321_O2,321,ClP1(OCC(CO1)(C)C)=O,O,15.628914,8,2,11.68431603,-0.29627,0.19223,-0.2123,-0.25845,0,0,0,0,0,0,0,0,0,20,10,5,10,5,0,3,0,1,0,1,0,1,20,10,19,1,0,0,1,19,1,0,0,0,0,4,0,0,1,1,16,15.36556174,12.13144698,20.61252731,19.77254902,19.956,13.91253293,22.78752786,0.8,0.768278087,0.606572349,1.030626366,0.988627451,0.9978,0.695626647,1.139376393,10.05,0.3,3,0,23.23393,21.70207,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2.4063,39.1445,144.088929,184.0056085,9.200280424,78.1
321_O3,321,ClP1(OCC(CO1)(C)C)=O,O,70.417848,8,1,18.90463599,-0.24074,0.18302,-0.40559,-0.27611,-0.03169,-0.14258,0,0,0,0,0,0,0,20,10,5,10,5,0,3,0,1,0,1,0,1,20,10,19,1,0,0,1,19,1,0,0,0,0,4,0,0,1,1,16,15.36556174,12.13144698,20.61252731,19.77254902,19.956,13.91253293,22.78752786,0.8,0.768278087,0.606572349,1.030626366,0.988627451,0.9978,0.695626647,1.139376393,10.05,0.3,3,0,23.23393,21.70207,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2.4063,39.1445,144.088929,184.0056085,9.200280424,78.1
322_O1,322,CC1CC(C)(C)OP(=O)(OC2=CC=CC=C2)O1,O,15.9623525,8,2,11.34994239,-0.27102,0.33744,-0.62374,-0.20174,-0.21746,-0.12508,-0.06227,0,0,0,0,6,6,34,17,5,17,12,0,4,0,1,0,0,0,0,35,18,28,1,0,6,7,31,4,0,0,6,0,3,2,1,0,0.5,22.66666667,21.33359104,20.6517875,34.28514202,32.92156863,33.384,22.88232395,38.29880385,0.666666667,0.62745856,0.607405515,1.00838653,0.96828143,0.981882353,0.673009528,1.126435407,52.05,0.382352941,4,0,38.213481,30.970519,2,0,2,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,2,0.111111111,3.7775,65.0045,227.5741486,256.0864457,7.531954284,79.6
322_O2,322,CC1CC(C)(C)OP(=O)(OC2=CC=CC=C2)O1,O,92.6742115,8,1,18.18289498,-0.2157,0.31465,-0.6344,-0.35479,-0.43795,-0.12508,-0.06227,0,0,0,0,6,6,34,17,5,17,12,0,4,0,1,0,0,0,0,35,18,28,1,0,6,7,31,4,0,0,6,0,3,2,1,0,0.5,22.66666667,21.33359104,20.6517875,34.28514202,32.92156863,33.384,22.88232395,38.29880385,0.666666667,0.62745856,0.607405515,1.00838653,0.96828143,0.981882353,0.673009528,1.126435407,52.05,0.382352941,4,0,38.213481,30.970519,2,0,2,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,2,0.111111111,3.7775,65.0045,227.5741486,256.0864457,7.531954284,79.6
322_O3,322,CC1CC(C)(C)OP(=O)(OC2=CC=CC=C2)O1,O,22.024632,8,2,11.75643982,-0.404,0.25742,-0.54203,-0.3782,-0.35986,0,0,0,0,0,0,6,6,34,17,5,17,12,0,4,0,1,0,0,0,0,35,18,28,1,0,6,7,31,4,0,0,6,0,3,2,1,0,0.5,22.66666667,21.33359104,20.6517875,34.28514202,32.92156863,33.384,22.88232395,38.29880385,0.666666667,0.62745856,0.607405515,1.00838653,0.96828143,0.981882353,0.673009528,1.126435407,52.05,0.382352941,4,0,38.213481,30.970519,2,0,2,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,2,0.111111111,3.7775,65.0045,227.5741486,256.0864457,7.531954284,79.6
322_O4,322,CC1CC(C)(C)OP(=O)(OC2=CC=CC=C2)O1,O,22.570736,8,2,11.43210509,-0.27404,0.32676,-0.53784,-0.187,-0.29627,-0.12508,-0.06227,0,0,0,0,6,6,34,17,5,17,12,0,4,0,1,0,0,0,0,35,18,28,1,0,6,7,31,4,0,0,6,0,3,2,1,0,0.5,22.66666667,21.33359104,20.6517875,34.28514202,32.92156863,33.384,22.88232395,38.29880385,0.666666667,0.62745856,0.607405515,1.00838653,0.96828143,0.981882353,0.673009528,1.126435407,52.05,0.382352941,4,0,38.213481,30.970519,2,0,2,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,2,0.111111111,3.7775,65.0045,227.5741486,256.0864457,7.531954284,79.6
323_O1,323,O(C1=CC=CC=C1)P1(OCCCO1)=O,O,22.885796,8,2,12.33607673,-0.40402,0.25661,-0.55207,-0.41312,-0.12511,0,0,0,0,0,0,6,6,25,14,5,11,9,0,4,0,1,0,0,0,0,26,15,19,1,0,6,7,22,4,0,0,6,0,2,1,0,0,0.333333333,18.66666667,17.83005262,16.02630409,25.62163146,24.74509804,25.104,17.48666048,28.05293491,0.746666667,0.713202105,0.641052164,1.024865259,0.989803922,1.00416,0.699466419,1.122117397,43.05,0.52,4,0,29.202723,24.951277,2,0,2,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,2,0.133333333,2.6104,51.1975,175.686193,214.0394955,8.561579818,82
323_O2,323,O(C1=CC=CC=C1)P1(OCCCO1)=O,O,22.4998475,8,2,11.92266485,-0.27713,0.31428,-0.47231,-0.21658,-0.14036,-0.12508,-0.06227,0,0,0,0,6,6,25,14,5,11,9,0,4,0,1,0,0,0,0,26,15,19,1,0,6,7,22,4,0,0,6,0,2,1,0,0,0.333333333,18.66666667,17.83005262,16.02630409,25.62163146,24.74509804,25.104,17.48666048,28.05293491,0.746666667,0.713202105,0.641052164,1.024865259,0.989803922,1.00416,0.699466419,1.122117397,43.05,0.52,4,0,29.202723,24.951277,2,0,2,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,2,0.133333333,2.6104,51.1975,175.686193,214.0394955,8.561579818,82
323_O3,323,O(C1=CC=CC=C1)P1(OCCCO1)=O,O,22.402704,8,2,11.77981057,-0.27713,0.31428,-0.47231,-0.21658,-0.14036,-0.12508,-0.06227,0,0,0,0,6,6,25,14,5,11,9,0,4,0,1,0,0,0,0,26,15,19,1,0,6,7,22,4,0,0,6,0,2,1,0,0,0.333333333,18.66666667,17.83005262,16.02630409,25.62163146,24.74509804,25.104,17.48666048,28.05293491,0.746666667,0.713202105,0.641052164,1.024865259,0.989803922,1.00416,0.699466419,1.122117397,43.05,0.52,4,0,29.202723,24.951277,2,0,2,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,2,0.133333333,2.6104,51.1975,175.686193,214.0394955,8.561579818,82
323_O4,323,O(C1=CC=CC=C1)P1(OCCCO1)=O,O,79.8565205,8,1,17.56825543,-0.21574,0.31383,-0.64445,-0.38971,-0.2032,-0.12508,-0.06227,0,0,0,0,6,6,25,14,5,11,9,0,4,0,1,0,0,0,0,26,15,19,1,0,6,7,22,4,0,0,6,0,2,1,0,0,0.333333333,18.66666667,17.83005262,16.02630409,25.62163146,24.74509804,25.104,17.48666048,28.05293491,0.746666667,0.713202105,0.641052164,1.024865259,0.989803922,1.00416,0.699466419,1.122117397,43.05,0.52,4,0,29.202723,24.951277,2,0,2,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,2,0.133333333,2.6104,51.1975,175.686193,214.0394955,8.561579818,82
