Name,LB,SMI,Atomic_Symbol,DFT_BF3_Affinity,Atomic_Number,Degree,Free_SASA,Atomic_Charge,Radial_Charge_1,Radial_Charge_2,Radial_Charge_3,Radial_Charge_4,Radial_Charge_5,Radial_Charge_6,Radial_Charge_7,Radial_Charge_8,Radial_Charge_9,nBase,nAromAtom,nAromBond,nAtom,nHeavyAtom,nHetero,nH,nC,nN,nO,nS,nP,nF,nCl,nBr,nX,nBonds,nBondsO,nBondsS,nBondsD,nBondsT,nBondsA,nBondsM,nBondsKS,nBondsKD,C1SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,FCSP3,SZ,Sm,Sv,Sse,Spe,Sare,Sp,Si,MZ,Mm,Mv,Mse,Mpe,Mare,Mp,Mi,fragCpx,fMF,nHBAcc,nHBDon,apol,bpol,nRing,n5Ring,n6Ring,nHRing,n5HRing,n6HRing,naRing,n6aRing,naHRing,n6aHRing,nARing,n5ARing,n6ARing,nAHRing,n5AHRing,n6AHRing,nFRing,nFARing,nRot,RotRatio,SLogP,SMR,Vabc,MW,AMW,Exp_BF3_Affinity
1_N1,1,CN(C)C1=CC=C(C=C1)[N+](=O)[O-],N,67.5481765,7,3,5.076442706,-0.37765,-0.32889,-0.11919,0.04612,0.45443,0.51662,0,0,0,0,0,6,6,22,12,4,10,8,2,2,0,0,0,0,0,0,22,12,15,1,0,6,7,18,4,0,0,6,0,0,0,0,0,0.25,14.66666667,13.83565065,13.65466436,22.42680262,21.70980392,22.056,14.27061677,25.07669689,0.666666667,0.628893212,0.620666562,1.019400119,0.986809269,1.002545455,0.648664398,1.139849859,12.04,0.272727273,3,0,23.83193,12.90807,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0.166666667,1.6608,47.4234,152.6960211,166.0742276,7.548828525,78.13
1_O1,1,CN(C)C1=CC=C(C=C1)[N+](=O)[O-],O,61.7983315,8,1,16.28399813,-0.25831,-0.19612,-0.18536,-0.14949,-0.07415,0.09184,-0.28582,-0.2736,0,0,0,6,6,22,12,4,10,8,2,2,0,0,0,0,0,0,22,12,15,1,0,6,7,18,4,0,0,6,0,0,0,0,0,0.25,14.66666667,13.83565065,13.65466436,22.42680262,21.70980392,22.056,14.27061677,25.07669689,0.666666667,0.628893212,0.620666562,1.019400119,0.986809269,1.002545455,0.648664398,1.139849859,12.04,0.272727273,3,0,23.83193,12.90807,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0.166666667,1.6608,47.4234,152.6960211,166.0742276,7.548828525,78.13
1_O2,1,CN(C)C1=CC=C(C=C1)[N+](=O)[O-],O,61.8875985,8,1,16.39864031,-0.25831,-0.19612,-0.18536,-0.14949,-0.07415,0.09184,-0.28582,-0.2736,0,0,0,6,6,22,12,4,10,8,2,2,0,0,0,0,0,0,22,12,15,1,0,6,7,18,4,0,0,6,0,0,0,0,0,0.25,14.66666667,13.83565065,13.65466436,22.42680262,21.70980392,22.056,14.27061677,25.07669689,0.666666667,0.628893212,0.620666562,1.019400119,0.986809269,1.002545455,0.648664398,1.139849859,12.04,0.272727273,3,0,23.83193,12.90807,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0.166666667,1.6608,47.4234,152.6960211,166.0742276,7.548828525,78.13
2_N1,2,CN(C)C1=CC=C(C=C1)C#N,N,76.2280795,7,3,4.923302996,-0.37766,-0.32931,-0.13063,-0.08628,0.09333,0.19244,0,0,0,0,0,6,6,21,11,2,10,9,2,0,0,0,0,0,0,0,21,11,14,0,1,6,7,17,3,1,0,5,1,0,0,0,0,0.222222222,13,12.17159271,13.22506615,20.76547706,20.01176471,20.256,14.31013772,23.65792474,0.619047619,0.579599653,0.629765055,0.988832241,0.952941176,0.964571429,0.68143513,1.126567845,11.02,0.285714286,2,0,23.89793,12.31207,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.090909091,1.62428,45.484,149.7750935,146.0843983,6.95639992,87.12
2_N2,2,CN(C)C1=CC=C(C=C1)C#N,N,65.896737,7,1,17.48328914,-0.19244,-0.09333,-0.04119,-0.12586,-0.07331,0.09184,-0.28582,-0.2736,0,0,0,6,6,21,11,2,10,9,2,0,0,0,0,0,0,0,21,11,14,0,1,6,7,17,3,1,0,5,1,0,0,0,0,0.222222222,13,12.17159271,13.22506615,20.76547706,20.01176471,20.256,14.31013772,23.65792474,0.619047619,0.579599653,0.629765055,0.988832241,0.952941176,0.964571429,0.68143513,1.126567845,11.02,0.285714286,2,0,23.89793,12.31207,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.090909091,1.62428,45.484,149.7750935,146.0843983,6.95639992,87.12
3_O1,3,CCOC(=O)c1ccc(cc1)N(C)C,O,27.763975,8,2,9.543102294,-0.46239,-0.03596,-0.11216,-0.12389,-0.07323,0.09184,-0.28582,-0.2736,0,0,0,6,6,29,14,3,15,11,1,2,0,0,0,0,0,0,29,14,22,1,0,6,7,25,4,0,1,5,1,2,0,0,0,0.363636364,17.33333333,16.08908501,17.2512703,28.98324836,27.83137255,28.228,18.60832036,32.82418275,0.597701149,0.554796035,0.59487139,0.999422357,0.959702502,0.97337931,0.641666219,1.131868371,14.03,0.206896552,3,0,31.075895,19.362105,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0.214285714,1.9293,56.7255,193.5872162,193.1102787,6.658975128,92.32
3_O2,3,CCOC(=O)c1ccc(cc1)N(C)C,O,68.1520415,8,1,15.21360435,-0.24621,0.0914,-0.31124,-0.31367,-0.15276,0.09184,-0.28582,-0.2736,0,0,0,6,6,29,14,3,15,11,1,2,0,0,0,0,0,0,29,14,22,1,0,6,7,25,4,0,1,5,1,2,0,0,0,0.363636364,17.33333333,16.08908501,17.2512703,28.98324836,27.83137255,28.228,18.60832036,32.82418275,0.597701149,0.554796035,0.59487139,0.999422357,0.959702502,0.97337931,0.641666219,1.131868371,14.03,0.206896552,3,0,31.075895,19.362105,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0.214285714,1.9293,56.7255,193.5872162,193.1102787,6.658975128,92.32
3_N1,3,CCOC(=O)c1ccc(cc1)N(C)C,N,79.2736595,7,3,5.134674731,-0.37766,-0.32935,-0.13158,-0.09386,0.09239,0.43,-0.27861,-0.18979,-0.07953,0,0,6,6,29,14,3,15,11,1,2,0,0,0,0,0,0,29,14,22,1,0,6,7,25,4,0,1,5,1,2,0,0,0,0.363636364,17.33333333,16.08908501,17.2512703,28.98324836,27.83137255,28.228,18.60832036,32.82418275,0.597701149,0.554796035,0.59487139,0.999422357,0.959702502,0.97337931,0.641666219,1.131868371,14.03,0.206896552,3,0,31.075895,19.362105,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0.214285714,1.9293,56.7255,193.5872162,193.1102787,6.658975128,92.32
4_N1,4,CN(C)C1=CC=CC=C1,N,99.0463,7,3,5.134694834,-0.37766,-0.3294,-0.13335,-0.12484,-0.06227,0,0,0,0,0,0,6,6,20,9,1,11,8,1,0,0,0,0,0,0,0,20,9,14,0,0,6,6,17,3,0,0,6,0,0,0,0,0,0.25,11,10.08933478,11.73801649,19.54624909,18.68235294,18.908,13.05073234,22.57483131,0.55,0.504466739,0.586900824,0.977312454,0.934117647,0.9454,0.652536617,1.128741566,9.01,0.3,1,0,21.794723,12.745277,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.111111111,1.7526,40.769,126.7552655,121.0891494,6.054457468,109.16
5_N1,5,CC1=CC=C(C=C1)N(C)C,N,103.8955985,7,3,5.008877544,-0.37766,-0.32938,-0.13281,-0.11839,-0.04412,-0.08389,0,0,0,0,0,6,6,23,10,1,13,9,1,0,0,0,0,0,0,0,23,10,17,0,0,6,6,20,3,0,0,5,1,1,0,0,0,0.333333333,12.33333333,11.25718092,13.27984429,22.43408594,21.40784314,21.668,14.84928683,25.99012096,0.536231884,0.489442649,0.577384534,0.975395041,0.930775789,0.942086957,0.645621166,1.130005259,10.01,0.260869565,1,0,24.798309,14.751691,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.1,2.06102,45.506,144.0512508,135.1047994,5.874121714,111.17
6_N1,6,CCN(CC)CC,N,120.9455955,7,3,5.908996388,-0.30416,-0.31839,-0.21907,0,0,0,0,0,0,0,1,0,0,22,7,1,15,6,1,0,0,0,0,0,0,0,21,6,21,0,0,0,0,21,0,0,0,0,0,6,0,0,0,1,9.666666667,8.425027059,10.82167209,21.3219228,20.13333333,20.428,12.64784132,25.4054106,0.439393939,0.382955775,0.491894186,0.969178309,0.915151515,0.928545455,0.574901878,1.154791391,6.01,0,1,0,21.121895,16.758105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,1.3481,33.462,123.3291309,101.1204495,4.596384067,135.87
7_N1,7,CN(C)C1CCCCC1,N,132.1774845,7,3,5.500251644,-0.30645,-0.32434,-0.11635,-0.10696,-0.05331,0,0,0,0,0,1,0,0,26,9,1,17,8,1,0,0,0,0,0,0,0,26,9,26,0,0,0,0,26,0,0,0,0,0,0,6,0,0,1,12,10.5928732,13.3634999,25.20975965,23.85882353,24.188,15.44639581,29.82070025,0.461538462,0.4074182,0.513980765,0.96960614,0.917647059,0.930307692,0.594092146,1.14695001,9.01,0.230769231,1,0,25.795481,18.764519,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.111111111,1.8807,40.56,145.5646424,127.1360995,4.889849982,137.85
8_N1,8,CN1CCCC1,N,141.757934,7,3,5.358738144,-0.30637,-0.32402,-0.11204,0,0,0,0,0,0,0,1,0,0,17,6,1,11,5,1,0,0,0,0,0,0,0,17,6,17,0,0,0,0,17,0,0,0,0,0,2,2,0,0,1,8,7.089334776,8.738016487,16.54624909,15.68235294,15.908,10.05073234,19.57483131,0.470588235,0.417019693,0.51400097,0.97330877,0.922491349,0.935764706,0.591219549,1.151460665,6.01,0.294117647,1,0,16.784723,12.745277,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0.712,26.731,93.67668672,85.08914935,5.00524408,139.51
9_N1,9,CN(C)C,N,141.311599,7,3,5.2191185,-0.31243,-0.35444,0,0,0,0,0,0,0,0,1,0,0,13,4,1,9,3,1,0,0,0,0,0,0,0,12,3,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,5.666666667,4.921488635,6.196188683,12.65841224,11.95686275,12.148,7.252177844,15.15954166,0.435897436,0.378576049,0.476629899,0.973724018,0.919758673,0.934461538,0.557859834,1.16611859,3.01,0,1,0,12.111137,10.738863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1778,19.611,71.44117522,59.07349929,4.54411533,139.53
10_N1,10,C1CN2CCN1CC2,N,149.765709,7,3,5.736639934,-0.29952,-0.26639,0.03314,0,0,0,0,0,0,0,2,0,0,20,8,2,12,6,2,0,0,0,0,0,0,0,21,9,21,0,0,0,0,21,0,0,0,0,0,6,0,0,0,1,10.33333333,9.339438848,10.76689395,19.65331391,18.7372549,19.016,12.10869222,23.07321439,0.516666667,0.466971942,0.538344698,0.982665696,0.936862745,0.9508,0.605434611,1.15366072,25.02,0.4,2,0,20.221516,15.458484,3,0,3,3,0,3,0,0,0,0,3,0,3,3,0,3,1,1,0,0,-0.3824,32.88,105.8129736,112.1000484,5.605002419,142.76
10_N2,10,C1CN2CCN1CC2,N,149.4585255,7,3,5.72002286,-0.29952,-0.26639,0.03314,0,0,0,0,0,0,0,2,0,0,20,8,2,12,6,2,0,0,0,0,0,0,0,21,9,21,0,0,0,0,21,0,0,0,0,0,6,0,0,0,1,10.33333333,9.339438848,10.76689395,19.65331391,18.7372549,19.016,12.10869222,23.07321439,0.516666667,0.466971942,0.538344698,0.982665696,0.936862745,0.9508,0.605434611,1.15366072,25.02,0.4,2,0,20.221516,15.458484,3,0,3,3,0,3,0,0,0,0,3,0,3,3,0,3,1,1,0,0,-0.3824,32.88,105.8129736,112.1000484,5.605002419,142.76
11_N1,11,C1CN2CCC1CC2,N,156.5421245,7,3,5.426882924,-0.30331,-0.30813,-0.16213,-0.03041,0,0,0,0,0,0,1,0,0,21,8,1,13,7,1,0,0,0,0,0,0,0,22,9,22,0,0,0,0,22,0,0,0,0,0,3,3,1,0,1,10.33333333,9.257180917,11.27984429,20.43408594,19.40784314,19.668,12.84928683,23.99012096,0.492063492,0.440818139,0.537135442,0.973051712,0.924183007,0.936571429,0.611870801,1.142386712,25.01,0.380952381,1,0,21.458309,14.751691,3,0,3,3,0,3,0,0,0,0,3,0,3,3,0,3,1,1,0,0,1.1021,33.781,112.1121982,111.1047994,5.290704734,150.01
12_N1,12,CC(C)(C)C1=CC=CC=N1,N,75.6609715,7,2,10.50671607,-0.26075,-0.18801,-0.18371,-0.27819,0,0,0,0,0,0,0,6,6,23,10,1,13,9,1,0,0,0,0,0,0,0,23,10,17,0,0,6,6,20,3,0,1,4,0,3,0,0,1,0.444444444,12.33333333,11.25718092,13.27984429,22.43408594,21.40784314,21.668,14.84928683,25.99012096,0.536231884,0.489442649,0.577384534,0.975395041,0.930775789,0.942086957,0.645621166,1.130005259,10.01,0.260869565,1,0,24.798309,14.181691,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2.3791,42.937,144.0512508,135.1047994,5.874121714,80.1
13_N1,13,C1=CC=NC(=C1)C(F)(F)F,N,78.4282485,7,2,11.64404358,-0.25179,-0.08045,0.36133,-0.0624,0,0,0,0,0,0,0,6,6,14,10,4,4,6,1,0,0,0,3,0,0,3,14,10,8,0,0,6,6,11,3,0,1,4,0,1,0,0,0,0.166666667,12.33333333,12.24712427,9.781283126,15.30881282,15.3254902,15.668,9.256390419,16.7631477,0.880952381,0.874794591,0.69866308,1.09348663,1.094677871,1.119142857,0.661170744,1.197367693,10.04,0.428571429,1,0,15.458172,8.491828,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2.1004,29.239,110.365972,147.0295838,10.50211313,82.46
14_N1,14,C1=CC=NC(=C1)Br,N,88.9775075,7,2,11.66245013,-0.24938,-0.11573,-0.1334,-0.06242,0,0,0,0,0,0,0,6,6,11,7,2,4,5,1,0,0,0,0,0,1,1,11,7,5,0,0,6,6,8,3,0,2,3,0,0,0,0,0,0,12.66666667,13.15444176,8.13036841,11.11107065,10.80392157,10.844,9.082138922,12.17047255,1.151515152,1.195858342,0.739124401,1.010097332,0.982174688,0.985818182,0.825648993,1.106406595,7.02,0.545454545,1,0,15.167172,6.532828,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.8441,31.937,94.15092918,156.9527112,14.26842829,95.37
15_N1,15,C1=CC=NC(=C1)C#N,N,90.933505,7,2,11.50791087,-0.24557,-0.0773,0.05691,-0.06243,0,0,0,0,0,0,0,6,6,12,8,2,4,6,2,0,0,0,0,0,0,0,12,8,5,0,1,6,7,8,3,1,1,4,0,0,0,0,0,0,9,8.668054284,8.59958274,12.1019665,11.83529412,11.976,8.914474251,13.41205581,0.75,0.722337857,0.716631895,1.008497208,0.98627451,0.998,0.742872854,1.117671317,8.02,0.5,2,0,14.887172,5.722828,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.95328,28.952,97.8871378,104.0374481,8.669787344,96.2
15_N2,15,C1=CC=NC(=C1)C#N,N,43.7401425,7,1,17.39523568,-0.19072,-0.0713,0.06864,-0.20247,-0.16664,-0.0639,0,0,0,0,0,6,6,12,8,2,4,6,2,0,0,0,0,0,0,0,12,8,5,0,1,6,7,8,3,1,1,4,0,0,0,0,0,0,9,8.668054284,8.59958274,12.1019665,11.83529412,11.976,8.914474251,13.41205581,0.75,0.722337857,0.716631895,1.008497208,0.98627451,0.998,0.742872854,1.117671317,8.02,0.5,2,0,14.887172,5.722828,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.95328,28.952,97.8871378,104.0374481,8.669787344,96.2
16_N1,16,C1=CC=NC(=C1)Cl,N,89.9646955,7,2,11.59680929,-0.24458,-0.08753,-0.13418,-0.06244,0,0,0,0,0,0,0,6,6,11,7,2,4,5,1,0,0,0,0,1,0,1,11,7,5,0,0,6,6,8,3,0,2,3,0,0,0,0,0,0,9.666666667,9.453334443,7.932475066,11.20429716,10.88235294,10.88,8.561180838,12.2729414,0.878787879,0.85939404,0.721134097,1.018572469,0.989304813,0.989090909,0.778289167,1.115721945,7.02,0.545454545,1,0,14.297172,5.662828,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.735,29.247,90.0783779,113.0032268,10.27302062,96.28
17_N1,17,C1=CC=NC(=C1)F,N,90.739218,7,2,11.48627407,-0.22834,0.014,-0.13729,-0.06249,0,0,0,0,0,0,0,6,6,11,7,2,4,5,1,0,0,0,1,0,0,1,11,7,5,0,0,6,6,8,3,0,2,3,0,0,0,0,0,0,8.333333333,8.083623612,7.488173825,11.39548434,11.20392157,11.388,7.589324551,12.66859426,0.757575758,0.734874874,0.680743075,1.035953122,1.018538324,1.035272727,0.689938596,1.151690388,7.02,0.545454545,1,0,12.674172,6.265828,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.2207,24.195,80.93486883,97.03277735,8.821161577,96.76
18_N1,18,CC1=NC(=CC=C1)C,N,96.8487565,7,2,10.72897534,-0.25849,-0.18342,-0.30955,-0.0624,0,0,0,0,0,0,0,6,6,17,8,1,9,7,1,0,0,0,0,0,0,0,17,8,11,0,0,6,6,14,3,0,0,5,0,2,0,0,0,0.285714286,9.666666667,8.921488635,10.19618868,16.65841224,15.95686275,16.148,11.25217784,19.15954166,0.568627451,0.524793449,0.599775805,0.979906602,0.938638985,0.949882353,0.661892814,1.127031863,8.01,0.352941176,1,0,18.791137,10.168863,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.69844,33.711,109.4592803,107.0734993,6.298441135,97.73
19_N1,19,CN(C)C1=CC=CC=N1,N,90.193114,7,3,5.224556943,-0.36275,-0.22024,-0.20511,-0.16678,-0.0639,0,0,0,0,0,0,6,6,19,9,2,10,7,2,0,0,0,0,0,0,0,19,9,13,0,0,6,6,16,3,0,2,3,0,0,0,0,0,0.285714286,11,10.17159271,11.22506615,18.76547706,18.01176471,18.256,12.31013772,21.65792474,0.578947368,0.535346985,0.590792955,0.987656687,0.947987616,0.960842105,0.647901986,1.139890776,9.02,0.315789474,2,0,20.55793,12.88207,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.111111111,1.1476,38.564,120.4560409,122.0843983,6.425494648,97.93
19_N2,19,CN(C)C1=CC=CC=N1,N,100.4141855,7,2,10.41501672,-0.23937,-0.08272,-0.42447,-0.33639,0,0,0,0,0,0,0,6,6,19,9,2,10,7,2,0,0,0,0,0,0,0,19,9,13,0,0,6,6,16,3,0,2,3,0,0,0,0,0,0.285714286,11,10.17159271,11.22506615,18.76547706,18.01176471,18.256,12.31013772,21.65792474,0.578947368,0.535346985,0.590792955,0.987656687,0.947987616,0.960842105,0.647901986,1.139890776,9.02,0.315789474,2,0,20.55793,12.88207,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.111111111,1.1476,38.564,120.4560409,122.0843983,6.425494648,97.93
20_N1,20,CC1=CC(=NC(=C1)C)C,N,103.5070245,7,2,10.85884749,-0.25847,-0.18287,-0.3031,-0.04426,-0.0839,0,0,0,0,0,0,6,6,20,9,1,11,8,1,0,0,0,0,0,0,0,20,9,14,0,0,6,6,17,3,0,0,4,1,3,0,0,0,0.375,11,10.08933478,11.73801649,19.54624909,18.68235294,18.908,13.05073234,22.57483131,0.55,0.504466739,0.586900824,0.977312454,0.934117647,0.9454,0.652536617,1.128741566,9.01,0.3,1,0,21.794723,12.175277,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2.00686,38.448,126.7552655,121.0891494,6.054457468,101.03
21_N1,21,C1=CC=C(C=C1)C2=CC=CC=N2,N,105.7859585,7,2,10.16033288,-0.25627,-0.15864,-0.15407,-0.18981,-0.12463,-0.06227,0,0,0,0,0,12,12,21,12,1,9,11,1,0,0,0,0,0,0,0,22,13,10,0,0,12,12,16,6,0,1,9,1,0,0,0,0,0,13.66666667,12.92148864,14.19618868,20.65841224,19.95686275,20.148,15.25217784,23.15954166,0.650793651,0.615308983,0.676008985,0.983733916,0.950326797,0.959428571,0.726294183,1.102835317,37.01,0.571428571,1,0,25.471137,10.168863,2,0,2,1,0,1,2,2,1,1,0,0,0,0,0,0,0,0,1,0.076923077,2.7486,49.673,147.4773854,155.0734993,7.384452347,103.35
22_O1,22,COC1=CC=CC=N1,O,31.4212965,8,2,10.85605223,-0.48098,-0.18937,-0.21048,-0.16703,-0.0639,0,0,0,0,0,0,6,6,15,8,2,7,6,1,1,0,0,0,0,0,0,15,8,9,0,0,6,6,12,3,0,2,3,0,0,0,0,0,0.166666667,9.666666667,9.085671468,9.369159984,15.10123816,14.58039216,14.788,9.933862874,16.95363809,0.644444444,0.605711431,0.624610666,1.006749211,0.972026144,0.985866667,0.662257525,1.130242539,8.02,0.4,2,0,16.589551,9.898449,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.125,1.0902,30.789,100.953522,109.0527638,7.270184256,109.73
22_N1,22,COC1=CC=CC=N1,N,112.625386,7,2,10.02307541,-0.22214,0.02106,-0.41906,-0.2633,0,0,0,0,0,0,0,6,6,15,8,2,7,6,1,1,0,0,0,0,0,0,15,8,9,0,0,6,6,12,3,0,2,3,0,0,0,0,0,0.166666667,9.666666667,9.085671468,9.369159984,15.10123816,14.58039216,14.788,9.933862874,16.95363809,0.644444444,0.605711431,0.624610666,1.006749211,0.972026144,0.985866667,0.662257525,1.130242539,8.02,0.4,2,0,16.589551,9.898449,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.125,1.0902,30.789,100.953522,109.0527638,7.270184256,109.73
23_N1,23,C1=CC(=CN=C1)C#N,N,103.766949,7,2,11.46602489,-0.26335,-0.19198,0.00521,0.1286,0,0,0,0,0,0,0,6,6,12,8,2,4,6,2,0,0,0,0,0,0,0,12,8,5,0,1,6,7,8,3,1,2,2,1,0,0,0,0,0,9,8.668054284,8.59958274,12.1019665,11.83529412,11.976,8.914474251,13.41205581,0.75,0.722337857,0.716631895,1.008497208,0.98627451,0.998,0.742872854,1.117671317,8.02,0.5,2,0,14.887172,5.722828,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.95328,28.952,97.8871378,104.0374481,8.669787344,110.36
23_N2,23,C1=CC(=CN=C1)C#N,N,45.6252515,7,1,17.44970026,-0.19238,-0.09164,-0.02134,-0.01808,-0.17475,-0.08398,0,0,0,0,0,6,6,12,8,2,4,6,2,0,0,0,0,0,0,0,12,8,5,0,1,6,7,8,3,1,2,2,1,0,0,0,0,0,9,8.668054284,8.59958274,12.1019665,11.83529412,11.976,8.914474251,13.41205581,0.75,0.722337857,0.716631895,1.008497208,0.98627451,0.998,0.742872854,1.117671317,8.02,0.5,2,0,14.887172,5.722828,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.95328,28.952,97.8871378,104.0374481,8.669787344,110.36
24_N1,24,C1=CN=CN=C1,N,105.967118,7,2,11.40046517,-0.24483,-0.09993,-0.17978,-0.08411,0,0,0,0,0,0,0,6,6,10,6,2,4,4,2,0,0,0,0,0,0,0,10,6,4,0,0,6,6,7,3,0,2,1,0,0,0,0,0,0,7,6.668054284,6.59958274,10.1019665,9.835294118,9.976,6.914474251,11.41205581,0.7,0.666805428,0.659958274,1.01019665,0.983529412,0.9976,0.691447425,1.141205581,6.02,0.6,2,0,11.547172,6.292828,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.4766,22.032,68.56808525,80.03744813,8.003744813,113.02
24_N2,24,C1=CN=CN=C1,N,106.019628,7,2,11.48123795,-0.24483,-0.09993,-0.17978,-0.08411,0,0,0,0,0,0,0,6,6,10,6,2,4,4,2,0,0,0,0,0,0,0,10,6,4,0,0,6,6,7,3,0,2,1,0,0,0,0,0,0,7,6.668054284,6.59958274,10.1019665,9.835294118,9.976,6.914474251,11.41205581,0.7,0.666805428,0.659958274,1.01019665,0.983529412,0.9976,0.691447425,1.141205581,6.02,0.6,2,0,11.547172,6.292828,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.4766,22.032,68.56808525,80.03744813,8.003744813,113.02
25_N1,25,C1=CN=CC=C1C#N,N,106.523724,7,2,11.21894551,-0.26464,-0.20855,-0.09242,0.09321,0.19244,0,0,0,0,0,0,6,6,12,8,2,4,6,2,0,0,0,0,0,0,0,12,8,5,0,1,6,7,8,3,1,2,2,1,0,0,0,0,0,9,8.668054284,8.59958274,12.1019665,11.83529412,11.976,8.914474251,13.41205581,0.75,0.722337857,0.716631895,1.008497208,0.98627451,0.998,0.742872854,1.117671317,8.02,0.5,2,0,14.887172,5.722828,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.95328,28.952,97.8871378,104.0374481,8.669787344,113.27
25_N2,25,C1=CN=CC=C1C#N,N,43.795278,7,1,17.40077574,-0.19244,-0.09321,-0.03817,-0.09009,0.09659,0,0,0,0,0,0,6,6,12,8,2,4,6,2,0,0,0,0,0,0,0,12,8,5,0,1,6,7,8,3,1,2,2,1,0,0,0,0,0,9,8.668054284,8.59958274,12.1019665,11.83529412,11.976,8.914474251,13.41205581,0.75,0.722337857,0.716631895,1.008497208,0.98627451,0.998,0.742872854,1.117671317,8.02,0.5,2,0,14.887172,5.722828,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.95328,28.952,97.8871378,104.0374481,8.669787344,113.27
26_N1,26,C=CC1=CC=CC=N1,N,113.38153,7,2,10.67290105,-0.25692,-0.16714,-0.20696,-0.17011,0,0,0,0,0,0,0,6,6,15,8,1,7,7,1,0,0,0,0,0,0,0,15,8,8,1,0,6,7,11,4,0,2,5,0,0,0,0,0,0,9.333333333,8.753642494,9.654360879,14.77057538,14.23137255,14.388,10.45362335,16.74425202,0.622222222,0.583576166,0.643624059,0.984705025,0.94875817,0.9592,0.696908224,1.116283468,8.01,0.4,1,0,17.457551,8.162449,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.125,1.7246,34.328,106.8228214,105.0578492,7.003856615,115.55
27_N1,27,C1=CN=CC=C1C(F)(F)F,N,111.0789665,7,2,11.43661847,-0.26471,-0.21004,-0.10521,0.08239,0.49841,0,0,0,0,0,0,6,6,14,10,4,4,6,1,0,0,0,3,0,0,3,14,10,8,0,0,6,6,11,3,0,2,2,1,1,0,0,0,0.166666667,12.33333333,12.24712427,9.781283126,15.30881282,15.3254902,15.668,9.256390419,16.7631477,0.880952381,0.874794591,0.69866308,1.09348663,1.094677871,1.119142857,0.661170744,1.197367693,10.04,0.428571429,1,0,15.458172,8.491828,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2.1004,29.239,110.365972,147.0295838,10.50211313,115.75
