LB,SMILES,Exp,DFT,Pred
316,ClP1(OCC(CO1)(C1=CC=CC=C1)C1=CC=CC=C1)=O,67.0,58.82362881766193,14.790972
317,O(C1=CC=CC=C1)P1(OCC(CO1)(C)C)=O,73.12,88.23186049881323,52.74698
318,O(C1=CC=CC=C1)P1(OCC(O1)C)=O,74.77,78.16044239785464,55.66376
319,O(C1=CC=CC=C1)P1(OCCO1)=O,76.57,76.76367643384205,54.42743
320,O(C1=CC=CC=C1)P1(OCCC(O1)C)=O,76.7,90.00407299554608,55.655006
321,ClP1(OCC(CO1)(C)C)=O,78.1,70.41784298618587,15.529942
322,CC1CC(C)(C)OP(=O)(OC2=CC=CC=C2)O1,79.6,92.67420649993086,66.33925
323,O(C1=CC=CC=C1)P1(OCCCO1)=O,82.0,79.85651548396804,59.663063
324,C(C)OP1(OCC(CO1)(C)C)=O,82.09,92.53768049529901,80.20301
325,COP1(=O)OCC(C)(C)CO1,82.25,82.38224633262053,76.81681
326,C(C)OP1(OCCO1)=O,83.62,82.13282387700221,79.95589
327,C1(=CC=CC=C1)P1(OCC(CO1)(C1=CC=CC=C1)C1=CC=CC=C1)=O,84.4,96.46280299930118,29.477732
328,P(=O)(OC)(OC)OC,84.75,84.01268199482115,79.417465
329,C1(=CC=CC=C1)P1(OCC(CO1)(C)C)=O,86.0,77.50406729767641,24.073637
330,COP1(OCCO1)=O,86.07,80.34223289828469,74.746414
331,C(C)OP(=O)(OCC)C1=CC(CC(C1)(C)C)=O,87.36,88.04329632758049,72.21601
332,CN(P1(OCC(CO1)(C1=CC=CC=C1)C1=CC=CC=C1)=O)C,87.8,100.50683643868881,99.96506
333,C1(=CC=CC=C1)P1(OCCCO1)=O,89.0,100.97603749699748,30.284605
334,C1(=CC=CC=C1)P1(OCCO1)=O,89.2,83.46920334220067,26.421858
335,C(C)(C)OP(OC(C)C)=O,89.56,91.5084844997657,76.32417
336,CN(P1(OCCO1)=O)C,91.12,93.17797022898837,106.38989
337,CN(P1(OCC(CO1)(C)C)=O)C,92.5,95.99015617949638,109.27811
338,C1(=CC=CC=C1)P(C1=CC=CC=C1)(C1=CC=CC=C1)=O,103.3,116.6082645,3.835641
339,CN(P(N(C)C)(N(C)C)=O)C,117.53,125.06499994359733,87.83932
340,N1(CCCCC1)P(N1CCCCC1)(N1CCCCC1)=O,118.14,129.25267249993414,64.44603
341,C(C)P(CC)(CC)=O,119.28,129.96943399999998,122.97213
342,CP(C)(C)=O,119.68,124.70530649999999,121.530495
343,N1(CCCC1)P(N1CCCC1)(N1CCCC1)=O,122.52,136.9637658876051,66.17091
344,C1CCSC1,51.62,65.36638099999999,54.030125
345,CN(C(=S)N(C)C)C,60.96,69.28100149903744,68.47015
346,CC1(C)COP(=S)(OC2=CC=CC=C2)OC1,66.8,28.377636006130405,24.694754
347,CC1CC(OP(=S)(O1)OC2=CC=CC=C2)(C)C,67.4,32.03966365481796,30.951078
348,CP(C)C,97.43,100.973412,95.61982
