ids,y,LB,DFT_Rank,Pred,GNN_Rank
239_1,34.469497000000004,239,2.0,39.277416,2.0
239_2,70.1999265,239,1.0,84.624146,1.0
24_1,105.967113,24,2.0,94.39307,1.0
24_2,106.019623,24,1.0,93.83157,2.0
240_1,117.27251600000001,240,1.0,109.77263,1.0
240_2,2.1889745000000005,240,2.0,44.42143,2.0
241_1,93.6141355,241,2.0,44.771595,2.0
241_2,48.788973999999996,241,3.0,39.74528,3.0
241_3,31.253259500000002,241,4.0,31.593338,4.0
241_4,113.497047,241,1.0,92.335304,1.0
242_1,42.5849175,242,2.0,18.313286,3.0
242_2,29.554561000000003,242,3.0,28.175953,2.0
242_3,123.8756485,242,1.0,104.36866,1.0
243_1,11.155057,243,2.0,7.771047,2.0
243_2,53.91395,243,1.0,49.48187,1.0
244_1,8.5899435,244,2.0,5.7848516,2.0
244_2,56.381919999999994,244,1.0,58.148403,1.0
245_1,51.60351,245,1.0,56.018307,1.0
245_2,12.908891,245,2.0,41.955322,2.0
246_1,9.023150999999999,246,2.0,15.272167,2.0
246_2,48.754842499999995,246,1.0,47.208504,1.0
247_1,9.7294105,247,2.0,10.992544,2.0
247_2,45.24979999999999,247,1.0,51.090595,1.0
248_1,7.631636,248,2.0,12.240474,2.0
248_2,53.538503500000004,248,1.0,66.25867,1.0
249_1,14.515697,249,2.0,8.6106415,2.0
249_2,58.4429375,249,1.0,59.56149,1.0
25_1,106.523719,25,1.0,88.98045,1.0
25_2,43.795272999999995,25,2.0,39.67142,2.0
250_1,14.05886,250,2.0,3.9138913,2.0
250_2,57.996602499999995,250,1.0,59.657787,1.0
251_1,12.525568,251,2.0,11.172052,2.0
251_2,61.20496349999999,251,1.0,68.55675,1.0
252_1,12.885261499999999,252,3.0,12.023979,3.0
252_2,57.73930349999999,252,1.0,53.871655,1.0
252_3,14.339788500000001,252,2.0,19.107069,2.0
253_1,19.666927999999995,253,3.0,18.883596,3.0
253_2,64.169153,253,1.0,74.31081,1.0
253_3,34.086174,253,2.0,31.963959,2.0
254_1,12.0398505,254,2.0,10.219643,3.0
254_2,55.3553495,254,1.0,42.53008,1.0
254_3,12.018846499999999,254,3.0,10.350275,2.0
255_1,13.791059,255,3.0,15.056547,3.0
255_2,42.582291999999995,255,1.0,34.539124,1.0
255_3,13.8304415,255,2.0,15.106076,2.0
256_1,14.095617,256,2.0,9.042699,2.0
256_2,57.760307499999996,256,1.0,48.675934,1.0
257_1,19.0446845,257,2.0,27.49356,3.0
257_2,47.400084500000006,257,1.0,55.073837,1.0
257_3,18.6403575,257,3.0,28.57641,2.0
258_1,19.829708999999998,258,2.0,16.085276,2.0
258_2,61.034306,258,1.0,61.45898,1.0
259_1,14.129748500000002,259,2.0,15.029468,2.0
259_2,67.6741955,259,1.0,62.186996,1.0
26_1,113.381525,26,1.0,88.489296,1.0
260_1,15.534391,260,2.0,3.2505097,2.0
260_2,52.6143275,260,1.0,48.9668,1.0
261_1,70.7040225,261,1.0,67.36722,1.0
261_2,25.9760045,261,2.0,21.144505,2.0
262_1,20.583227499999996,262,2.0,15.762447,2.0
262_2,70.69877149999999,262,1.0,72.7346,1.0
263_1,3.6251229999999985,263,2.0,12.070362,2.0
263_2,57.508259499999994,263,1.0,27.484823,1.0
264_1,2.6405604999999994,264,2.0,16.697718,2.0
264_2,54.638588,264,1.0,46.042324,1.0
265_1,6.2138659999999994,265,2.0,9.394697,2.0
265_2,58.209267999999994,265,1.0,52.199665,1.0
266_1,4.192231,266,3.0,10.988471,3.0
266_2,63.893475499999994,266,1.0,34.703465,1.0
266_3,33.792118,266,2.0,34.565044,2.0
267_1,55.0927995,267,2.0,32.935555,2.0
267_2,78.430869,267,1.0,69.01051,1.0
267_3,25.054454000000003,267,3.0,30.344114,3.0
268_1,17.6006595,268,3.0,32.928696,3.0
268_2,80.604783,268,1.0,87.652145,1.0
268_3,57.841697999999994,268,2.0,49.29256,2.0
269_1,-21.574426,269,2.0,56.57206,2.0
269_2,88.9564985,269,1.0,59.088947,1.0
27_1,111.07896149999999,27,1.0,99.44047,1.0
270_1,42.122829499999995,270,2.0,37.429844,2.0
270_2,92.430035,270,1.0,89.923996,1.0
271_1,26.267435000000003,271,3.0,24.709394,4.0
271_2,93.238689,271,1.0,103.41328,1.0
271_3,12.546572000000001,271,4.0,46.195534,2.0
271_4,35.2072625,271,2.0,46.15804,3.0
272_1,27.2940055,272,2.0,30.714977,2.0
272_2,83.5742235,272,1.0,102.63849,1.0
273_1,32.5502565,273,2.0,25.996904,2.0
273_2,87.1291505,273,1.0,98.158554,1.0
274_1,70.323325,274,3.0,64.80034,3.0
274_2,70.4257195,274,2.0,64.85241,2.0
274_3,95.23931999999999,274,1.0,92.27501,1.0
275_1,31.9778975,275,2.0,25.559301,2.0
275_2,99.235331,275,1.0,99.47221,1.0
276_1,9.359214999999999,276,2.0,60.24134,2.0
276_2,98.804749,276,1.0,74.1293,1.0
277_1,34.3093415,277,2.0,30.051016,2.0
277_2,99.828694,277,1.0,101.72397,1.0
278_1,101.6744205,278,1.0,106.601364,1.0
278_2,34.6138995,278,2.0,40.06168,2.0
279_1,41.227534000000006,279,2.0,33.054363,3.0
279_2,94.740475,279,1.0,102.00729,1.0
279_3,38.8146995,279,3.0,40.456776,2.0
28_1,110.4593435,28,1.0,90.268875,1.0
280_1,59.206958,280,2.0,49.789383,2.0
280_2,109.4721555,280,1.0,98.101974,1.0
280_3,57.74718,280,3.0,49.671482,3.0
281_1,33.3746635,281,3.0,55.72621,3.0
281_2,108.86041399999999,281,1.0,109.911064,1.0
281_3,91.537365,281,2.0,83.96629,2.0
282_1,33.348408500000005,282,2.0,23.008795,2.0
282_2,103.787948,282,1.0,93.13068,1.0
283_1,88.7937175,283,1.0,97.535614,1.0
283_2,53.766921999999994,283,2.0,46.617287,2.0
284_1,25.907741499999997,284,2.0,55.870907,2.0
