ids,y,LB,DFT_Rank,Pred,GNN_Rank
88_1,61.45176049999999,88,1.0,57.09999,1.0
88_2,47.46834750000001,88,2.0,43.59666,2.0
89_1,56.486940000000004,89,1.0,67.0205,1.0
9_1,141.31159399999999,9,1.0,122.112015,1.0
90_1,70.753907,90,1.0,54.78802,1.0
91_1,72.533996,91,1.0,55.64478,1.0
92_1,72.576004,92,1.0,52.3989,1.0
93_1,77.632717,93,1.0,65.24048,1.0
94_1,30.132171000000003,94,2.0,34.798847,2.0
94_2,83.9102875,94,1.0,72.63817,1.0
95_1,75.805369,95,2.0,80.52138,2.0
95_2,98.9544025,95,1.0,81.36243,1.0
96_1,47.754526999999996,96,1.0,61.329613,1.0
97_1,54.5992055,97,1.0,52.923237,1.0
98_1,64.7493885,98,1.0,70.4521,1.0
98_2,40.7418165,98,2.0,50.79675,2.0
99_1,68.889802,99,1.0,60.191925,1.0
99_2,59.679548,99,2.0,54.77656,2.0
